,Date,Tweets
26,2020-05-18,"$LTC Ex-Dividends-Date is after tomorrow 20/5/2020 with 0.54% payment at this price💰.
“I’d suggest to hold”
#LTC $DOW #DOW $DIA #DIA $M #M $MAIN #MAIN $EPR #EPR $BA #BA $BAC #BAC $DIS #DIS $FB #FB $FX #FX $RT #RT $APPL #APPL $AMZN #AMZN $TSLA #TSLA $OXLC #OXLC"
27,2020-05-18,"#TSLA - 3rd round of profit taking. You can just play around with 1/4 of your positions and make more profits with lowered risks. The rest you can still keep for longer term with better profit targets.

#usd #forex #Trader #forextrader #trading #AI $TSLA https://t.co/UbEZBWP9tC https://t.co/xYuuMe3oAM"
28,2020-05-18,"$MAIN Ex-Dividends-date tomorrow with 0.68% payment💰.
“I’d suggest holding”
#MAIN $M #M $EPR #EPR $BA #BA $BAC #BAC $FX #FX $FB #FB $RT #RT $TSLA #TSLA $AMZN #AMZN $APPL #APPL $OXLC #OXLC"
29,2020-05-18,"Hedging $OXLC with the div I received today💰.
#OXLC $DOW #DOW $DIA #DIA $MAIN #MAIN $M #M $EPR #EPR $APPL #APPL $AMZN #AMZN $TSLA #TSLA $BA #BA $BAC #BAC $DIS #DIS $FB #FB $RT #RT $FX #FX"
30,2020-05-18,"RT @f37stockx: It’s always nice to have money you forgot you deserved😴🤷‍♂️.
$EPR #EPR $MAIN #MAIN $BA #BA $DIS #DIS $M #M $BAC #BAC $OXLC #…"
31,2020-05-18,"RT @iKarimFanous: The Turing Test equivalent for autonomous vehicles is a self-driving car in #Cairo 

#TSLA #AutonomousVehicles 

https://…"
32,2020-05-18,"RT @winvesta: Invest in US stocks from India. Zero fees, Zero commission, Zero hassle. Open an account in minutes and start building your g…"
33,2020-05-18,"It’s always nice to have money you forgot you deserved😴🤷‍♂️.
$EPR #EPR $MAIN #MAIN $BA #BA $DIS #DIS $M #M $BAC #BAC $OXLC #OXLC $RT #RT $FX #FX $FB #FB $APPL #APPL $AMZN #AMZN $TSLA #TSLA https://t.co/cfCWyDwz7E"
34,2020-05-18,"The Turing Test equivalent for autonomous vehicles is a self-driving car in #Cairo 

#TSLA #AutonomousVehicles 

https://t.co/hsPTFxofNn"
35,2020-05-18,"RT @NioTurkey: $nio, #nio, $tsla, #tsla Where there is Tesla, there is Nio, now only in China soon everywhere... @NIOGlobal"
36,2020-05-18,"@slashdot The common thing about all ""#Tesla Killers"" since 2011 is that they're killing nothing but their investor's money.

The ship has sailed. This industry will have a lot of #Nokias and #Kodaks in 5-10 years. #TSLA"
37,2020-05-18,"$nio, #nio, $tsla, #tsla Where there is Tesla, there is Nio, now only in China soon everywhere... @NIOGlobal https://t.co/8LLhwyimNH"
38,2020-05-18,"RT @FinMeUp: Tesla keeps on suprising! (+9% after hours).
Check our stock pick on them when it was back at 434$ end of Feb as well as our p…"
39,2020-05-18,Unpopular Opinion: Elon Musk's Twitter Frenzy is Exactly What the Clean Energy Movement Needs. #tesla #tsla #elonmusk #cleanenergy #evs #electricvehicles #renewableenergy #unpopularopinion #taketheredpill https://t.co/x4H7yiUMyz
40,2020-05-18,"RT @Eurosnob_: Ok, this is actually funny.

https://t.co/jAOoFRqCeT 

#tsla $tsla #electricvehicles"
41,2020-05-18,"@fly4dat Faulty analyses like this are precisely why $TSLA shorts have lost $20 billion in 5 years, more than any other stock. If EV market share ⬆️ more than #TSLA EV share ⬇️, $TSLA sales ⬆️. It's like a jr. high math problem, but $TSLAQ is too stupid to solve it and they keep losing $."
42,2020-05-18,"Is it weird to love Elon Musk and still believe Tesla could go bankrupt because of mismanagement?

#tsla #tesla #elonmusm"
43,2020-05-18,"@GerberKawasaki Tesla is in a WAR.. you are either with US or Against US.. 
#TSLA"
44,2020-05-18,"RT @Eurosnob_: Ok, this is actually funny.

https://t.co/jAOoFRqCeT 

#tsla $tsla #electricvehicles"
45,2020-05-18,"Ticker Symbol: TSLA
Timeframe: Daily
Trade Type: Swing Trade
Outlook: Bullish
Contingency: Watch for a breakout above the top trend line which is acting as resistance.

$TSLA #TSLA @Tesla @elonmusk https://t.co/n7TfO5s4fp"
46,2020-05-18,"Ok, this is actually funny.

https://t.co/jAOoFRqCeT 

#tsla $tsla #electricvehicles"
47,2020-05-18,"Give a hoot, don’t dilute.  #tsla"
48,2020-05-18,"PREMIUM results of MAY First week. 🔥CUMULATIVE PIPS: 494 Pips🔥🔥 

VIP free signals : https://t.co/YyacI4y8rC

#FB #XAGUSD #EURJPY #CRYPTO #USDCHF #USDCAD #AMZN #AUDUSD #EURCHF #AAPL #TSLA #NFLX #BITCOIN #USDJPY #XAUSUD 482355910 https://t.co/oJdoOay510"
49,2020-05-18,"RT @au_shareplicity: Elon is changing our transport and energy production world, can’t help myself but be a Musk fan and investor $TSLA #sh…"
50,2020-05-18,RT @dburkland: Hannshow Power Trunk Kit Installation - Complete ✅. It was about as much work as I expected however the excellent video from…
51,2020-05-18,"One interesting angle no one talks about it: The potential outflow of money from Facebook, Amazon and Google due to the Antitrust lawsuit that's brewing.  When investors flee from these big techs, where do you think the money will go? One of them gonna be #tsla ."
52,2020-05-18,"Hannshow Power Trunk Kit Installation - Complete ✅. It was about as much work as I expected however the excellent video from Electrified Garage helped a lot. 

Next up is the Power Frunk Kit which should arrive later this week. #tsla $tsla https://t.co/ikOnE9hZnP"
53,2020-05-18,a play im very confident in  - #TSLA chart https://t.co/H5eHzb76Yv
54,2020-05-18,"Elon is changing our transport and energy production world, can’t help myself but be a Musk fan and investor $TSLA #shares #Investment #tsla  https://t.co/XQymNuiPLA"
55,2020-05-18,@flcnhvy can you ask @elonmusk if the type of paint used on @tesla cars will improve when they move ops out of CA? This is really everyones only gripe with the cars. #Tesla #tsla #TeslaServiceIssues #ElonMusk
56,2020-05-17,@elonmusk this is for you #elonmusk  #tsla https://t.co/JYPQ8s33uF
57,2020-05-17,Here's what I think legacy auto makers should do as their best hope to compete. Make a deal with #Tesla to build the #electricskateboard for their car with #tsla tech. Tesla only has so many resources so I would be the 1st Co to the table with a #jointventure deal like this.
58,2020-05-17,"RT @JasameSmith: Pretty sure there are only a few hundred car accident deaths worldwide.  #TSLA has been *involved* in 16!!!!!!

HUGE %!!!!…"
59,2020-05-17,"@chigrl Not happy with the chinabots, @chigrl taunting the #TSLA cult. On the same day! 😂

Now do bitcoin 🤣"
60,2020-05-17,That’s it. I’ve seen the light. I’m all in on #TESLA. @elonmusk takes thinking outside the box to new levels. #TSLA $TSLA Now where can I get a t-shirt with his face on it please?
61,2020-05-17,"Tesla | $TSLA

Follow my free Telegram: https://t.co/fJdy3P6EX1

Very much possible we see a bit of retracement and then probably go on to make newer highs ✅

#forex $BTC #Tesla #TSLA https://t.co/Gdhd4pJ4Li"
62,2020-05-17,"RT @JasameSmith: Pretty sure there are only a few hundred car accident deaths worldwide.  #TSLA has been *involved* in 16!!!!!!

HUGE %!!!!…"
63,2020-05-17,"That price target is based on weighing the probabilities of 10 different scenarios—including bankruptcy. The sources of the increase in price target estimates include improving margins, capital efficiency, and autonomous capability. #tsla"
64,2020-05-17,@elonmusk Giving California the double middle fingers. I love it!! #TSLA
65,2020-05-17,"Pretty sure there are only a few hundred car accident deaths worldwide.  #TSLA has been *involved* in 16!!!!!!

HUGE %!!!!!

Do you support DEATH!!! #TSLAQ🪦⚰️☠️ https://t.co/z69wgdefd4"
66,2020-05-17,The Big Five #FAANG Stock and Sector Service is now posted for Sunday       #AMZN #AAPL #FB #NFLX #TSLA #GOOGL and  Sector Funds - #IBB #IYR #XLE #XLE #XLF #XLK #XRT    (link: https://t.co/bihMz399my)   #trading #investing #FinancialFreedom https://t.co/zSsYB4g6QA
67,2020-05-17,"@SamTalksTesla Yep, and @elonmusk will be the worlds first trillionaire. Hold your #tsla 🤘🏼"
68,2020-05-17,"I’m asking you specifically because I’m fairly certain that you’re not an American native and you own $tsla stonk. So how? And if there is anyone within the #tsla community that knows a reputable broker I can start with, please do share. @thirdrowtesla @flcnhvy @Kristennetten"
69,2020-05-17,Make choices that align wit yo vision - #TSLA chart https://t.co/3vFtZfKGwt
70,2020-05-17,"I’ve also been following people in the #tsla community for quite some time and have not seen people this dedicated in their support of a notion. Moreover, considering what transpired between a certain Journalist and @thirdrowtesla, and more importantly, how they handled it,"
71,2020-05-17,"It may be much safer to use Warren Buffet's cost averaging technique, by purchasing a fixed number of #TSLA shares per month at no leverage through #eToro, especially now that the share price is around USD 800"
72,2020-05-17,"You may have heard it put many ways. Long consolidation periods yield big moves. The bigger the base, the higher into space, for $TSLA, not SpaceX, but I can see how you could get the two confused : )

Hitting some downtrend line resistance here. #TSLA #Tesla https://t.co/IXp0NPzQ1Q"
73,2020-05-17,@markbspiegel I see #tsla as the strip mall nightclub that everyone queued to get into because it was the place to be. Then all at once the crowd stops coming.
74,2020-05-17,@dbongino #TSLA is the #GOAT
75,2020-05-17,"RT @winvesta: Invest in US stocks from India. Zero fees, Zero commission, Zero hassle. Open an account in minutes and start building your g…"
76,2020-05-17,"RT @winvesta: Invest in US stocks from India. Zero fees, Zero commission, Zero hassle. Open an account in minutes and start building your g…"
77,2020-05-17,@PsychoticTroll @AaronGreenspan @elonmusk @GraciasAntonio I'm not a $TSLA Q. I'm a #tsla to $90 a share recapitalization bailout when it's all said and done ala AIG after the rising tide crashes all boats. They can't paper over ATL the economic annihilation that's occurred aided by COVID fuse.
78,2020-05-17,RT @RosilesEddie: HUGE THANK YOU @elonmusk for the full accommodation and ensuring that social distancing is not only implemented in manufa…
79,2020-05-17,"RT @TSLAFanMtl: As I speak to some $TSLA bears, I see early signs of history repeating itself for GF4.

I am not sure if our friends in $TS…"
80,2020-05-17,RT @RosilesEddie: HUGE THANK YOU @elonmusk for the full accommodation and ensuring that social distancing is not only implemented in manufa…
81,2020-05-17,"RT @TSLAFanMtl: As I speak to some $TSLA bears, I see early signs of history repeating itself for GF4.

I am not sure if our friends in $TS…"
82,2020-05-17,"RT @winvesta: Invest in US stocks from India. Zero fees, Zero commission, Zero hassle. Open an account in minutes and start building your g…"
83,2020-05-17,The U.S economy is like a start-up with an eccentric CEO constantly tapping the capital markets to fund their growth....while posting losses year after year....and no ability to ever repay the debt without refinancing #TSLA #Fed #brrrr
84,2020-05-17,"@RandyVegetables @GrimRea55821237 Fantastic. Recycled Tesla’s! 

It’s got to be the ‘greenest’ car on the planet 👍
#TSLA $TSLA"
85,2020-05-17,"If your going to by TLSA buy under the RED line going across. It is being valued as a tech company rather than a car company.

#tsla https://t.co/Q4kuGZ6z71"
86,2020-05-16,"@vincent13031925 @TeslaTested @tesla4the @teslectrics Fact: there's no evidence that #NIO $NIO has done anything wrong; yet, a simple search can uncover things like this:

""ex-employees of [#tsla's $TSLA] SolarCity subsidiary say they were wrongfully dismissed after uncovering evidence of fake sales records.

https://t.co/ByfX0CUm42"
87,2020-05-16,"@elonmusk  Isn't it time for @TESLA #tsla VS #tslaq to return the favor to the Saudis and invest in them to shore up their liquidity crunch I mean borrowing spree?
$TSLA #SaturdayVibes 

https://t.co/M1CO34WD8w"
88,2020-05-16,RT @RosilesEddie: HUGE THANK YOU @elonmusk for the full accommodation and ensuring that social distancing is not only implemented in manufa…
89,2020-05-16,"Interesting qote here: "" (Enron) lobbied for tighter regulation of air pollution, because it had figured a way to make money trading emission credits. And at the end Enron sure seemed to be fishing for a bailout."" The bailout came in 2008 for others.#tsla
https://t.co/hgi0XUCf0C"
90,2020-05-16,"RT @ThePupOfWallSt: You may have heard it put many ways. Long consolidation periods yield big moves. The bigger the base, the higher into s…"
91,2020-05-16,@davidein #tsla will have a 50% pull back by September. Wanna bet on it big daddy?  #Tesla
92,2020-05-16,"David Tepper's Appaloosa Management released their portfolio as of 3/31

New positions
Twitter #TWTR
Netflix #NFLX
Qualcomm #QCOM
Microsoft #MSFT 
Tesla #TSLA

Reduced stakes
Facebook #FB 
Alphabet #GOOG 
PG&amp;E #PCG
Alibaba #baba
salesforce #CRM
Amazon #AMZN"
93,2020-05-16,"Interesting things coming in the next few weeks! 👀https://t.co/MnM3H38hyq
#VTIQ #nkla #Nikolamotors #tsla #Tesla"
94,2020-05-16,"You may have heard it put many ways. Long consolidation periods yield big moves. The bigger the base, the higher into space, for $TSLA, not SpaceX, but I can see how you could get the two confused : )

Hitting some downtrend line resistance here. #TSLA #Tesla https://t.co/aTXTmPU9OH"
95,2020-05-16,@SamAntar @PreetBharara you mean sorta like these guys? #TSLA https://t.co/bce7eZUlus
96,2020-05-16,"RT @EVolution438: Guys, did you see my 6min Why I Want a Cybertruck video? 
https://t.co/babdbwSngF

#Tesla #tsla #Cybertruck #cybrtr"
97,2020-05-16,"RT @EVolution438: Guys, did you see my 6min Why I Want a Cybertruck video? 
https://t.co/babdbwSngF

#Tesla #tsla #Cybertruck #cybrtr"
98,2020-05-16,"Guys, did you see my 6min Why I Want a Cybertruck video? 
https://t.co/babdbwSngF

#Tesla #tsla #Cybertruck #cybrtr"
99,2020-05-16,Nice little missile. Exactly what I see $SPY $SPX #TSLA doing next week. https://t.co/fd0hrmbeu0
100,2020-05-16,"RT @winvesta: Invest in US stocks from India. Zero fees, Zero commission, Zero hassle. Open an account in minutes and start building your g…"
101,2020-05-16,"RT @TSLAFanMtl: As I speak to some $TSLA bears, I see early signs of history repeating itself for GF4.

I am not sure if our friends in $TS…"
102,2020-05-16,RT @JMMZHerrera: @TESLAcharts @markbspiegel Dust Bowl days of the 30’s. Oversupply caused prices to collapse so they planted more. #tsla sa…
103,2020-05-16,"RT @TSLAFanMtl: As I speak to some $TSLA bears, I see early signs of history repeating itself for GF4.

I am not sure if our friends in $TS…"
104,2020-05-16,@JasameSmith I'm confused.  Who has made money shorting #tsla?  And why do you not want Tesla in Texas?
105,2020-05-16,#TSLA - tesla  to 956$ sell for easy money  - TradingView - https://t.co/yrKDZUmSfg
106,2020-05-16,"RT @SpiderMan_3s: $SPY Support and Resistance (Pivots) for Mon 5/18/20:

$FB $AMZN $AAPL
$GOOG $TSLA $C
$BAC $BMY $IBB
$MSFT $NFLX $NVDA $J…"
107,2020-05-16,"RT @SpiderMan_3s: $SPY Support and Resistance (Pivots) for Mon 5/18/20:

$FB $AMZN $AAPL
$GOOG $TSLA $C
$BAC $BMY $IBB
$MSFT $NFLX $NVDA $J…"
108,2020-05-16,"$SPY Support and Resistance (Pivots) for Mon 5/18/20:

$FB $AMZN $AAPL
$GOOG $TSLA $C
$BAC $BMY $IBB
$MSFT $NFLX $NVDA $JNJ

#stocks #pivots #markets #daytrading #watchlist #charts #aapl #ATHS $spx #spy #tsla #fb #bac #celg #ibb #msft #nvda #JnJ #c #AMZN https://t.co/rsOT19Ck86"
109,2020-05-16,"RT @MY21_Oracle: $TSLA Elon Musk, the sci-fi anti-hero from central casting, becomes the unlikely figurehead for American economic renewal…"
110,2020-05-16,#TSLA Will file for bankruptcy by end of June
111,2020-05-16,"RT @MY21_Oracle: $TSLA Elon Musk, the sci-fi anti-hero from central casting, becomes the unlikely figurehead for American economic renewal…"
112,2020-05-16,"$TSLA Elon Musk, the sci-fi anti-hero from central casting, becomes the unlikely figurehead for American economic renewal https://t.co/prDyappAFn via @proactive_UK @Tesla #TSLA"
113,2020-05-16,"RT @TSLAFanMtl: As I speak to some $TSLA bears, I see early signs of history repeating itself for GF4.

I am not sure if our friends in $TS…"
114,2020-05-16,"#NZDJPY all targets hit with 127pips  🚁🏎🔥🔥  1176USD profit came in from this trade 

VIP free signals : https://t.co/lpQZFpfMem

#USDJPY #USOIL #EURUSD #Forex #EURJPY #fx #TSLA #USDCHF #NFLX #GBPUSD #XAUUSD #AMZN #AUDUSD #BITCOIN #USDCAD 471038002 https://t.co/Wglu0Ih21X"
115,2020-05-16,"#NZDJPY all targets hit with 127pips  🚁🏎🔥🔥  1176USD profit came in from this trade 

Open for 5 more people : https://t.co/vnaPNErGh4

#TSLA #EURJPY #USDJPY #USOIL #AMZN #AUDUSD #BITCOIN #GBPUSD #Forex #USDCAD #NFLX #USDCHF #EURUSD #fx #XAUUSD 893790359 https://t.co/YqzAz3GcO6"
116,2020-05-16,"RT @JasameSmith: The Texas dealership lobby should influence the government to keep #TSLA out.

They should resist Fascist Musk!!!!!! #tsla…"
117,2020-05-16,"RT @JasameSmith: The Texas dealership lobby should influence the government to keep #TSLA out.

They should resist Fascist Musk!!!!!! #tsla…"
118,2020-05-16,@TESLAcharts @markbspiegel Dust Bowl days of the 30’s. Oversupply caused prices to collapse so they planted more. #tsla sales collapsed so they build more cars. Read Steinbeck’s Grapes of Wrath to see how this ends.
119,2020-05-16,"RT @JasameSmith: The Texas dealership lobby should influence the government to keep #TSLA out.

They should resist Fascist Musk!!!!!! #tsla…"
120,2020-05-16,"#NZDJPY all targets hit with 127pips  🚁🏎🔥🔥  1176USD profit came in from this trade 

dont miss out on signals : https://t.co/IIKIZCkqj6

#AUDUSD #USDCHF #FB #USDJPY #XAUSUD #CRYPTO #BITCOIN #XAGUSD #EURJPY #AAPL #USDCAD #AMZN #EURCHF #TSLA #NFLX 612850300 https://t.co/RB9U5Q246V"
121,2020-05-16,Tesla Bad Candle Patterns and Fibonacci Halfway Back Short  - #TSLA chart https://t.co/w90xvCklzm
122,2020-05-16,"#NZDJPY all targets hit with 127pips  🚁🏎🔥🔥  1176USD profit came in from this trade 

hurry get Free signals : https://t.co/PMyX69LD6N

#USDJPY $BTC #AUDUSD $BTC #AMZN #TSLA $ETH #forexsignal #USDCAD #USDCHF #EURJPY #stocks #forextrading #BITCOIN #NFLX 279050078 https://t.co/1zIg4mpvz7"
123,2020-05-16,"RT @justinGANG: $tsla and $nio not only bring revolution in power for future transport and battery, but they also consolidate future prospe…"
124,2020-05-16,"#NZDJPY all targets hit with 127pips  🚁🏎🔥🔥  1176USD profit came in from this trade 

For more Free signals : https://t.co/dszHilxSmH

#EURUSD #NFLX #fx #USDCAD #BITCOIN #TSLA #USOIL #XAUUSD #USDCHF #USDJPY #AMZN #Forex #GBPUSD #EURJPY #AUDUSD 353354952 https://t.co/FwdfxfQBou"
125,2020-05-16,"The Texas dealership lobby should influence the government to keep #TSLA out.

They should resist Fascist Musk!!!!!! #tslaq 💪👊"
126,2020-05-16,"Tesla may build next factory in Austin area, media outlets report: Reports are flying that Tesla Inc. is planning to build a major factory in the Austin area. Electric vehicle news website The Electrek reported May 15 that Tesla (Nasdaq: #TSLA) had… https://t.co/gkqLRoRw8Y — ABN"
127,2020-05-16,@TitoElBandito @TESLAcharts @danahull #TSLA a true visionary..
128,2020-05-16,"#AUDUSD gave huge massive 1900USD gains! 190 pips profit from this signal

Open for 5 more people : https://t.co/VGIP5v1Pxn

#TSLA #EURJPY #CRYPTO #EURCHF #BITCOIN #USDCAD #USDCHF #AMZN #FB #NFLX #AAPL #XAUSUD #USDJPY #XAGUSD #AUDUSD 759182348 https://t.co/Dr1ypaRuDV"
129,2020-05-16,@jonnajarian @elonmusk Get out and drive! #TSLA
130,2020-05-16,RT @StockMKTNewz: Breaking news: Tesla #TSLA is searching for its next Gigafactory location. According to sources Elon Musk is down to 2 lo…
131,2020-05-16,"So I've decided that I will comment on @elonmusk  on all his post this: ""Can you donate a Model x to me, please? 😁"" he either will be amuzed and do it or i will get blocked lol either way I got my #TSLA stock. Experiment On."
132,2020-05-16,"#AUDUSD gave huge massive 1900USD gains! 190 pips profit from this signal

hurry get Free signals : https://t.co/NMmEmqtiKp

#AMZN #BITCOIN #Forex #USDCAD #TSLA #EURJPY #XAUUSD #USDJPY #EURUSD #GBPUSD #fx #USDCHF #USOIL #AUDUSD #NFLX 336690705 https://t.co/0XUkPUmPXD"
133,2020-05-16,"#AUDUSD gave huge massive 1900USD gains! 190 pips profit from this signal

For more Free signals : https://t.co/JFbgZEeZa5

#forexsignal $BTC #EURJPY #TSLA #USDJPY #stocks $ETH #BITCOIN #USDCAD $BTC #AUDUSD #AMZN #forextrading #NFLX #USDCHF 871208035 https://t.co/mpXbLb4DrJ"
134,2020-05-16,"#USDJPY hit tp2 targets, 500 USD massive profits with 60PIPS earned🔥!

Closing soon  join now: https://t.co/XIAAhQFoWK

#TSLA #NFLX #USDJPY #XAUSUD #AAPL #EURCHF #AMZN #AUDUSD #EURJPY #XAGUSD #USDCAD #FB #BITCOIN #USDCHF #CRYPTO 466651946 https://t.co/9QHVZP03Ny"
135,2020-05-15,"@elonmusk @ProfFaustus @jk_rowling It’s as overpriced as #TSLA stock 😂 But I wonder, why would someone care that you own 0.25 BTC @elonmusk ? @jk_rowling don’t take him seriously, we all have to let that kid out sometimes. To put it simple it’s an overhyped pyramid made of wasted electricity."
136,2020-05-15,"@elonmusk can't go a day without being in the news. #Tesla sold 367,500 vehicles in 2019.
That represents 0.04% of the 91 million vehicles sold globally.
B.S. talk of next factory in Austin, Texas. 
Pain ahead as Tesla scales out it's footprint. 
Sell #TSLA"
137,2020-05-15,"@jimcramer No Jim, all of those are just lacking in innovation...hanging on for dear life to the old days in which they were cool...no mas 🥶 #TSLA #CGC #LULU #BTC"
138,2020-05-15,"#USDJPY hit tp2 targets, 500 USD massive profits with 60PIPS earned🔥!

I know you will miss out : https://t.co/xzGXhQoq54

#GBPUSD #EURJPY #USOIL #EURUSD #XAUUSD #NFLX #AUDUSD #fx #USDJPY #Forex #USDCHF #AMZN #USDCAD #BITCOIN #TSLA 729551677 https://t.co/MKqsthJNBQ"
139,2020-05-15,"RT @HenryK_B_: @JFSupremeLTO @WideAnglWatchr @RogerHelmerMEP @elonmusk Money, Marketing, cannot change the Laws of Physics/Thermodynamics/E…"
140,2020-05-15,"#USDJPY hit tp2 targets, 500 USD massive profits with 60PIPS earned🔥!

Best signals channel ever : https://t.co/C2UIHKCMyf

#NFLX #fx #AMZN #BITCOIN #XAUUSD #USDCAD #EURJPY #GBPUSD #EURUSD #TSLA #USOIL #AUDUSD #Forex #USDJPY #USDCHF 614999214 https://t.co/Mv47fycOTq"
141,2020-05-15,"@suryasays Tesla sold credits they get for making EVs to make it look like they were profitable, but it's still very legal. Its a case of Elon Musk and #TSLA focusing too much on the S-T but like you said the battery engineering and Innovation are a truly competitive advantage for #TSLA"
142,2020-05-15,RT @StockMKTNewz: Breaking news: Tesla #TSLA is searching for its next Gigafactory location. According to sources Elon Musk is down to 2 lo…
143,2020-05-15,"#USDJPY hit tp2 targets, 500 USD massive profits with 60PIPS earned🔥!

For more Free signals : https://t.co/DDrNELU9Ji

#FB #XAGUSD #AUDUSD #USDJPY #USDCAD #AMZN #XAUSUD #USDCHF #CRYPTO #NFLX #EURCHF #AAPL #EURJPY #TSLA #BITCOIN 892035773 https://t.co/J2bycqa20h"
